Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
WILDLIFE RESEARCH,WILDLIFE RES,CSIRO PUBLISHING,1035-3712,1448-5494,ZOOLOGY,SCIE,"3,442",1.6,Q2,0.77,48.43%
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,BIOACOUSTICS,TAYLOR & FRANCIS LTD,0952-4622,2165-0586,ZOOLOGY,SCIE,939,1.5,Q2,0.95,18.68%
JOURNAL OF MAMMALOGY,J MAMMAL,OXFORD UNIV PRESS INC,0022-2372,1545-1542,ZOOLOGY,SCIE,"9,155",1.5,Q2,0.95,17.89%
Ichthyology and Herpetology,ICHTHYOL HERPETOL,AMER SOC ICHTHYOLOGISTS & HERPETOLOGISTS,2766-1512,2766-1520,ZOOLOGY,SCIE,215,1.5,Q2,0.9,23.63%
Journal of Vertebrate Biology,J VERTEBR BIOL,INST VERTEBRATE BIOLOGY AS CR,2694-7684,2694-7684,ZOOLOGY,SCIE,217,1.5,Q2,0.89,97.03%
ZOOLOGICAL STUDIES,ZOOL STUD,"BIODIVERSITY RESEARCH CENTER, ACAD SINICA",1021-5506,1810-522X,ZOOLOGY,SCIE,"1,651",1.5,Q2,0.87,0%
Subterranean Biology,SUBTERR BIOL,INT SOC SUBTERRANEAN BIOL,1768-1448,1314-2615,ZOOLOGY,SCIE,306,1.5,Q2,0.59,98.78%
BMC Zoology,BMC ZOOL,BMC,N/A,2056-3132,ZOOLOGY,SCIE,289,1.4,Q2,0.88,100%
Zebrafish,ZEBRAFISH,"MARY ANN LIEBERT, INC",1545-8547,1557-8542,ZOOLOGY,SCIE,"1,610",1.4,Q2,0.76,9.62%
ANIMAL WELFARE,ANIM WELFARE,CAMBRIDGE UNIV PRESS,0962-7286,2054-1538,ZOOLOGY,SCIE,"2,726",1.4,Q2,0.74,43.15%
JOURNAL OF NEMATOLOGY,J NEMATOL,SOC NEMATOLOGISTS,0022-300X,2640-396X,ZOOLOGY,SCIE,"3,167",1.4,Q2,0.67,94.62%
ANIMAL BIOLOGY,ANIM BIOL,BRILL,1570-7555,1570-7563,ZOOLOGY,SCIE,470,1.4,Q2,0.66,6.67%
HERPETOLOGICA,HERPETOLOGICA,HERPETOLOGISTS LEAGUE,0018-0831,1938-5099,ZOOLOGY,SCIE,"2,636",1.3,Q2,1.22,0%
Mammal Research,MAMMAL RES,SPRINGER HEIDELBERG,2199-2401,2199-241X,ZOOLOGY,SCIE,760,1.3,Q2,0.9,25.29%
ZooKeys,ZOOKEYS,PENSOFT PUBLISHERS,1313-2989,1313-2970,ZOOLOGY,SCIE,"6,713",1.3,Q2,0.77,98.43%
PRIMATES,PRIMATES,SPRINGER JAPAN KK,0032-8332,1610-7365,ZOOLOGY,SCIE,"2,327",1.3,Q2,0.76,26.86%
TURKISH JOURNAL OF ZOOLOGY,TURK J ZOOL,Tubitak Scientific & Technological Research Council Turkey,1300-0179,1303-6114,ZOOLOGY,SCIE,"1,251",1.3,Q2,0.69,0%
SALAMANDRA,SALAMANDRA,DEUTSCHE GESELLSCHAFT HERPETOLOGIE TERRARIENKUNDE E V,0036-3375,0036-3375,ZOOLOGY,SCIE,608,1.3,Q2,0.65,1.05%
ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,TAYLOR & FRANCIS LTD,0394-9370,1828-7131,ZOOLOGY,SCIE,"1,113",1.3,Q2,0.64,6.25%
JOURNAL OF HELMINTHOLOGY,J HELMINTHOL,CAMBRIDGE UNIV PRESS,0022-149X,1475-2697,ZOOLOGY,SCIE,"2,467",1.3,Q2,0.64,23.48%
BELGIAN JOURNAL OF ZOOLOGY,BELG J ZOOL,ROYAL BELGIAN ZOOLOGICAL SOC,0777-6276,2295-0451,ZOOLOGY,SCIE,412,1.3,Q2,0.61,100%
LABORATORY ANIMALS,LAB ANIM-UK,SAGE PUBLICATIONS INC,0023-6772,1758-1117,ZOOLOGY,SCIE,"2,465",1.3,Q2,0.61,20.27%
AMPHIBIAN & REPTILE CONSERVATION,AMPHIB REPTILE CONSE,AMPHIBIAN CONSERVATION RESEARCH CENTER & LAB,1083-446X,1525-9153,ZOOLOGY,SCIE,311,1.3,Q2,0.58,0%
