Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Journal of Ichthyology,J ICHTHYOL+,PLEIADES PUBLISHING INC,0032-9452,1555-6425,ZOOLOGY,SCIE,"1,425",0.5,Q4,0.3,8.03%
PAKISTAN JOURNAL OF ZOOLOGY,PAK J ZOOL,ZOOLOGICAL SOC PAKISTAN,0030-9923,0030-9923,ZOOLOGY,SCIE,"2,269",0.5,Q4,0.3,97.88%
IHERINGIA SERIE ZOOLOGIA,IHERINGIA SER ZOOL,"FUNDACAO ZOOBOTANICA RIO GRANDE SUL, MUSEU CIENCIAS NATURAIS",0073-4721,1678-4766,ZOOLOGY,SCIE,656,0.5,Q4,0.26,91.30%
RUSSIAN JOURNAL OF THERIOLOGY,RUSS J THERIOL,"KMK SCIENTIFIC PRESS LTD, MOSCOW STATE UNIV",1682-3559,N/A,ZOOLOGY,SCIE,210,0.5,Q4,0.26,79.66%
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL",0120-548X,1900-1649,ZOOLOGY,SCIE,448,0.5,Q4,0.22,93.08%
CALDASIA,CALDASIA,"INST CIENCIAS NATURALES, MUSEO HISTORIA NATURAL",0366-5232,2357-3759,ZOOLOGY,SCIE,495,0.5,Q4,0.19,96.75%
BOLETIM DO INSTITUTO DE PESCA,BOL INST PESCA,INST PESCA,0046-9939,1678-2305,ZOOLOGY,SCIE,553,0.5,Q4,0.17,96.51%
NAUTILUS,NAUTILUS,BAILEY-MATTHEWS SHELL MUSEUM,0028-1344,0028-1344,ZOOLOGY,SCIE,352,0.5,Q4,0.05,0%
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,"INST ZOOLOGY, BAS",0324-0770,N/A,ZOOLOGY,SCIE,600,0.4,Q4,0.25,0%
Comparative Parasitology,COMP PARASITOL,HELMINTHOLOGICAL SOC WASHINGTON,1525-2647,1938-2952,ZOOLOGY,SCIE,409,0.4,Q4,0.19,0%
JOURNAL OF CONCHOLOGY,J CONCHOL,CONCHOLOGICAL SOC GREAT BRITAIN & IRELAND,0022-0019,N/A,ZOOLOGY,SCIE,242,0.4,Q4,0.17,0%
AMERICAN MALACOLOGICAL BULLETIN,AM MALACOL BULL,"AMER MALACOLOGICAL SOC, INC",0740-2783,2162-2698,ZOOLOGY,SCIE,493,0.4,Q4,0.15,0%
ZOOLOGICHESKY ZHURNAL,ZOOL ZH,MAIK NAUKA-INTERPERIODICA PUBL,0044-5134,N/A,ZOOLOGY,SCIE,"1,780",0.3,Q4,0.17,0%
GAYANA,GAYANA,"EDICIONES UNIV, CONCEPCION",0717-652X,0717-6538,ZOOLOGY,SCIE,295,0.2,Q4,0.11,20.83%
NOVITATES CARIBAEA,NOVIT CARIBAEA,MUSEO NACIONAL HISTORIA NATURAL-SANTO DOMINGO,2071-9841,2079-0139,ZOOLOGY,ESCI,39,0.2,Q4,0.09,60.56%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
