Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Revista de Arqueologia Historica Argentina y Latinoamericana,REV ARQUEOL HIST ARG,Assoc Professional Archaeologists Argentine Republic,1851-3190,2344-9918,ARCHAEOLOGY,ESCI,37,0.1,N/A,0.07,80.95%
Revue Archeologique du Centre de la France,REV ARCHEOL CENT FR,FED EDITION REVUE ARCHEOLOGIQUE CENTRE FRANCE,1951-6207,1951-6207,ARCHAEOLOGY,ESCI,38,0.1,N/A,0,0%
Industrial Archaeology Review,IND ARCHAEOL REV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0309-0728,1745-8196,ARCHAEOLOGY,AHCI,70,<0.1,N/A,0.44,16.67%
Vjesnik Arheoloskog Muzeja u Zagrebu,VJESN ARHEOL MUZ ZAG,ARHEOLOSKI MUZEJ & ZAGREBU,0350-7165,0350-7165,ARCHAEOLOGY,ESCI,74,<0.1,N/A,0.06,88.14%
Yorkshire Archaeological Journal,YORKS ARCHAEOL J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0084-4276,2045-0664,ARCHAEOLOGY,ESCI,26,<0.1,N/A,0.04,22.22%
Lanx-Journal of the Scuola di Specializzazione in Archeologia of the University of Milan,LANX,Milano University Press,2035-4797,2035-4797,ARCHAEOLOGY,ESCI,10,<0.1,N/A,0,91.18%
Scottish Archaeological Journal,SCOTT ARCHAEOL J,EDINBURGH UNIV PRESS,1471-5767,1755-2028,ARCHAEOLOGY,ESCI,13,<0.1,N/A,0,6.67%
TRANSACTIONS OF THE ANCIENT MONUMENTS SOCIETY,T ANCIENT MONUMENT,ANCIENT MONUMENTS SOC,0951-001X,N/A,ARCHAEOLOGY,AHCI,7,<0.1,N/A,0,0%
,,,,,,,,,,,
Copyright (c) 2024 Clarivate ,,,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,,,
