Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Science of The Total Environment,SCI TOTAL ENVIRON,ELSEVIER,0048-9697,1879-1026,ENVIRONMENTAL SCIENCES,SCIE,"394,564",8.2,Q1,1.62,20.51%
Communications Earth & Environment,COMMUN EARTH ENVIRON,SPRINGERNATURE,N/A,2662-4435,ENVIRONMENTAL SCIENCES,SCIE,"5,591",8.1,Q1,1.85,99.80%
Chemosphere,CHEMOSPHERE,PERGAMON-ELSEVIER SCIENCE LTD,0045-6535,1879-1298,ENVIRONMENTAL SCIENCES,SCIE,"194,561",8.1,Q1,1.58,11.26%
Journal of Environmental Management,J ENVIRON MANAGE,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES,SCIE,"110,283",8,Q1,1.49,16.50%
Energy Nexus,ENERGY NEXUS,ELSEVIER,2772-4271,2772-4271,ENVIRONMENTAL SCIENCES,ESCI,"1,345",8,Q1,1.27,92.02%
ENVIRONMENTAL RESEARCH,ENVIRON RES,ACADEMIC PRESS INC ELSEVIER SCIENCE,0013-9351,1096-0953,ENVIRONMENTAL SCIENCES,SCIE,"69,609",7.7,Q1,1.98,16.39%
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,ELSEVIER SCI LTD,0269-7491,1873-6424,ENVIRONMENTAL SCIENCES,SCIE,"126,553",7.6,Q1,1.5,15.60%
Earths Future,EARTHS FUTURE,AMER GEOPHYSICAL UNION,N/A,2328-4277,ENVIRONMENTAL SCIENCES,SCIE,"8,605",7.3,Q1,1.69,78.77%
International Soil and Water Conservation Research,INT SOIL WATER CONSE,KEAI PUBLISHING LTD,2095-6339,2589-059X,ENVIRONMENTAL SCIENCES,SCIE,"3,057",7.3,Q1,1.59,89.47%
Water Research X,WATER RES X,ELSEVIER,N/A,2589-9147,ENVIRONMENTAL SCIENCES,SCIE,"1,057",7.2,Q1,1.18,95.24%
Waste Management,WASTE MANAGE,PERGAMON-ELSEVIER SCIENCE LTD,0956-053X,1879-2456,ENVIRONMENTAL SCIENCES,SCIE,"50,128",7.1,Q1,1.13,20.07%
Ecological Indicators,ECOL INDIC,ELSEVIER,1470-160X,1872-7034,ENVIRONMENTAL SCIENCES,SCIE,"58,287",7,Q1,1.65,97.33%
Wiley Interdisciplinary Reviews-Water,WIRES WATER,WILEY,2049-1948,2049-1948,ENVIRONMENTAL SCIENCES,SCIE,"4,304",6.8,Q1,1.07,45.60%
Current Opinion in Environmental Science & Health,CURR OPIN ENV SCI HL,ELSEVIER,2468-5844,2468-5844,ENVIRONMENTAL SCIENCES,ESCI,"3,096",6.7,Q1,1.64,21.16%
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,ELSEVIER,2352-1864,2352-1864,ENVIRONMENTAL SCIENCES,SCIE,"15,209",6.7,Q1,1.24,58.42%
ACS Environmental Au,ACS ENVIRON AU,AMER CHEMICAL SOC,N/A,2694-2518,ENVIRONMENTAL SCIENCES,ESCI,404,6.7,Q1,0.68,68.60%
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ENVIRONMENTAL SCIENCES,SCIE,"33,837",6.6,Q1,1.58,42.01%
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,ELSEVIER SCI LTD,1877-3435,1877-3443,ENVIRONMENTAL SCIENCES,SCIE,"8,552",6.6,Q1,1.02,45.63%
Journal of Hazardous Materials Letters,J HAZARD MATER LETT,ELSEVIER,2666-9110,2666-9110,ENVIRONMENTAL SCIENCES,ESCI,458,6.6,Q1,0.83,98.85%
Current Pollution Reports,CURR POLLUT REP,SPRINGER HEIDELBERG,2198-6592,2198-6592,ENVIRONMENTAL SCIENCES,SCIE,"2,159",6.4,Q1,1.33,19.66%
Advances in Climate Change Research,ADV CLIM CHANG RES,KEAI PUBLISHING LTD,1674-9278,1674-9278,ENVIRONMENTAL SCIENCES,SCIE,"2,699",6.4,Q1,1.25,94.53%
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,TAYLOR & FRANCIS INC,1093-7404,1521-6950,ENVIRONMENTAL SCIENCES,SCIE,"2,281",6.4,Q1,0.78,34.09%
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,ENVIRONMENTAL SCIENCES,SCIE,"61,521",6.2,Q1,1.47,97.17%
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ENVIRONMENTAL SCIENCES,SCIE,"10,137",6.1,Q1,1.42,45.38%
Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,HIGHER EDUCATION PRESS,2095-2201,2095-221X,ENVIRONMENTAL SCIENCES,SCIE,"5,113",6.1,Q1,0.97,8.39%
Cleaner Environmental Systems,CLEAN ENVIRON SYST,ELSEVIER,2666-7894,2666-7894,ENVIRONMENTAL SCIENCES,ESCI,639,6.1,Q1,0.92,93.55%
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,SPRINGER,0179-5953,2197-6554,ENVIRONMENTAL SCIENCES,SCIE,"3,013",6.1,Q1,0.78,11.36%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,ELSEVIER,0167-8809,1873-2305,ENVIRONMENTAL SCIENCES,SCIE,"33,053",6,Q1,1.72,29.50%
Journal of Environmental Informatics,J ENVIRON INFORM,INT SOC ENVIRON INFORM SCI,1726-2135,1684-8799,ENVIRONMENTAL SCIENCES,SCIE,776,6,Q1,1.39,0%
Urban Climate,URBAN CLIM,ELSEVIER,2212-0955,2212-0955,ENVIRONMENTAL SCIENCES,SCIE,"8,471",6,Q1,1.34,18.75%
Environmental Sciences Europe,ENVIRON SCI EUR,SPRINGER,2190-4707,2190-4715,ENVIRONMENTAL SCIENCES,SCIE,"4,579",6,Q1,1,100%
Journal of Environmental Sciences,J ENVIRON SCI,SCIENCE PRESS,1001-0742,1878-7320,ENVIRONMENTAL SCIENCES,SCIE,"21,394",5.9,Q1,1.37,5.25%
Environmental Research Letters,ENVIRON RES LETT,IOP Publishing Ltd,1748-9326,1748-9326,ENVIRONMENTAL SCIENCES,SCIE,"44,013",5.8,Q1,1.21,99.03%
Environmental Science-Nano,ENVIRON SCI-NANO,ROYAL SOC CHEMISTRY,2051-8153,2051-8161,ENVIRONMENTAL SCIENCES,SCIE,"12,242",5.8,Q1,1.02,11.23%
AMBIO,AMBIO,SPRINGER,0044-7447,1654-7209,ENVIRONMENTAL SCIENCES,SCIE,"12,238",5.8,Q1,0.81,68.02%
Science of Remote Sensing,SCI REMOTE SENSING,ELSEVIER,2666-0172,2666-0172,ENVIRONMENTAL SCIENCES,ESCI,547,5.7,Q1,1.31,90.82%
Environmental Innovation and Societal Transitions,ENVIRON INNOV SOC TR,ELSEVIER,2210-4224,2210-4232,ENVIRONMENTAL SCIENCES,SCIE,"4,902",5.7,Q1,1.26,64.62%
Sustainable Chemistry and Pharmacy,SUSTAIN CHEM PHARM,ELSEVIER,N/A,2352-5541,ENVIRONMENTAL SCIENCES,SCIE,"5,073",5.5,Q1,1,7.99%
GLOBAL BIOGEOCHEMICAL CYCLES,GLOBAL BIOGEOCHEM CY,AMER GEOPHYSICAL UNION,0886-6236,1944-9224,ENVIRONMENTAL SCIENCES,SCIE,"16,502",5.4,Q1,1.2,41.69%
Resources Conservation & Recycling Advances,RESOUR CONS RECY ADV,ELSEVIER,2667-3789,2667-3789,ENVIRONMENTAL SCIENCES,ESCI,449,5.4,Q1,1.05,96.30%
Environmental and Sustainability Indicators,ENVIRON SUSTAIN IND,ELSEVIER,2665-9727,2665-9727,ENVIRONMENTAL SCIENCES,ESCI,"1,190",5.4,Q1,0.88,96.86%
Journal of Hazardous Materials Advances,J HAZARD MATER ADV,ELSEVIER,2772-4166,2772-4166,ENVIRONMENTAL SCIENCES,ESCI,"1,477",5.4,Q1,0.74,97.89%
Marine Pollution Bulletin,MAR POLLUT BULL,PERGAMON-ELSEVIER SCIENCE LTD,0025-326X,1879-3363,ENVIRONMENTAL SCIENCES,SCIE,"62,356",5.3,Q1,1.49,19.96%
Earth Systems and Environment,EARTH SYST ENVIRON,SPRINGER INT PUBL AG,2509-9426,2509-9434,ENVIRONMENTAL SCIENCES,ESCI,"1,591",5.3,Q1,1.36,28.40%
Emerging Contaminants,EMERG CONTAM,KEAI PUBLISHING LTD,2405-6650,2405-6642,ENVIRONMENTAL SCIENCES,ESCI,"1,245",5.3,Q1,1.25,98.02%
Environmental Health,ENVIRON HEALTH-GLOB,BMC,N/A,1476-069X,ENVIRONMENTAL SCIENCES,SCIE,"8,601",5.3,Q1,1.2,100%
Cleaner Engineering and Technology,CLEAN ENG TECHNOL,ELSEVIER,2666-7908,2666-7908,ENVIRONMENTAL SCIENCES,ESCI,"3,442",5.3,Q1,0.7,96.97%
CONSERVATION BIOLOGY,CONSERV BIOL,WILEY,0888-8892,1523-1739,ENVIRONMENTAL SCIENCES,SCIE,"22,083",5.2,Q1,1.33,50.72%
ATMOSPHERIC CHEMISTRY AND PHYSICS,ATMOS CHEM PHYS,COPERNICUS GESELLSCHAFT MBH,1680-7316,1680-7324,ENVIRONMENTAL SCIENCES,SCIE,"62,097",5.2,Q1,1.23,99.79%
Water Biology and Security,WATER BIOL SECUR,KEAI PUBLISHING LTD,N/A,2772-7351,ENVIRONMENTAL SCIENCES,ESCI,250,5.1,Q1,1.2,98.81%
Sustainability Science,SUSTAIN SCI,SPRINGER JAPAN KK,1862-4065,1862-4057,ENVIRONMENTAL SCIENCES,SCIE,"7,095",5.1,Q1,0.94,66.67%
Journal of Geovisualization and Spatial Analysis,J GEOVIS SPAT ANAL,SPRINGERNATURE,2509-8810,2509-8829,ENVIRONMENTAL SCIENCES,ESCI,558,5,Q1,1.28,20.22%
